area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Iblur Village,Emine P,4 BHK,3596,3596,5,1,Ready to move,279
Super built-up  Area,Hosa Road,Sosisic,3 BHK,1512,1512,3,2,43649,103
Built-up  Area,Thanisandra,Bhmesy ,3 BHK,1491,1491,3,1,Ready to move,88
Super built-up  Area,Cox Town,Eledst ,2 BHK,1250,1250,2,2,Ready to move,95
Super built-up  Area,Banashankari,,3 BHK,1650,1650,3,2,44334,90.75
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1140,1140,2,1,Ready to move,48.7
Plot  Area,Behind Don Bosco Church,,4 Bedroom,1200,1200,4,1,Ready to move,110
Super built-up  Area,Thanisandra,Rehtsna,3 BHK,1881,1881,3,,Ready to move,95
Super built-up  Area,Kanakpura Road,PrarePa,3 BHK,1100,1100,3,2,44938,56.57
Super built-up  Area,Iblur Village,Emine P,3 BHK,2666,2666,4,1,Ready to move,200
Super built-up  Area,Bagalur,,2 BHK,1500,1500,2,1,Ready to move,50
Super built-up  Area,Seshadripuram,,2 BHK,1217,1217,2,1,44085,164
Built-up  Area,Whitefield,,2 BHK,1197,1197,2,1,Ready to move,50
Built-up  Area,BHEL Layout,,6 Bedroom,2400,2400,4,1,Ready to move,170
Built-up  Area,Gollarapalya Hosahalli,Mauner ,3 BHK,1345,1345,3,2,Ready to move,60
Plot  Area,KR Puram,IJent A,4 Bedroom,1200,1200,4,2,Ready to move,100
Super built-up  Area,Bannerghatta Road,Anineu ,4 BHK,3230,3230,5,0,Ready to move,165
Super built-up  Area,Banashankari Stage II,,3 BHK,1260,1260,2,1,Ready to move,95
Built-up  Area,Sarjapur  Road,VaMarll,4 Bedroom,2750,2750,5,1,Ready to move,240
Plot  Area,9th Phase JP Nagar,,2 Bedroom,1200,1200,2,0,Ready to move,80
Built-up  Area,Devara Jeevanahalli,,3 Bedroom,1650,1650,3,0,Ready to move,52
Super built-up  Area,1st Block HBR Layout,,1 BHK,600,600,1,0,Ready to move,45
Super built-up  Area,Uttarahalli,Shony S,2 BHK,1025,1025,2,1,Ready to move,35.88
Super built-up  Area,Sarjapur,Kinuerg,4 BHK,1925 - 2680,2302,,,43570,80.59
Super built-up  Area,Hennur Road,Koagati,2 BHK,973,973,2,1,Ready to move,56
Super built-up  Area,Thanisandra main road,,4 BHK,4110,4110,4,2,44264,590
Super built-up  Area,Rajaji Nagar,PhestOn,3 BHK,2533,2533,3,3,Ready to move,425
Super built-up  Area,Balagere,Soresea,2 BHK,1007,1007,2,1,Ready to move,75
Super built-up  Area,Hosa Road,Skume R,1 BHK,615 - 985,800,1,0,44344,39.99
Built-up  Area,Sarjapur  Road,,3 Bedroom,1830,1830,3,1,45143,119
Super built-up  Area,Nagavara,,2 BHK,1077,1077,2,1,Ready to move,50
Plot  Area,Immadihalli,,1 Bedroom,672,672,1,1,Ready to move,27
Plot  Area,Shanthi Layout,,3 Bedroom,1280,1280,3,0,Ready to move,87
Built-up  Area,Electronics City Phase 1,,2 BHK,865,865,2,0,Ready to move,40
Super built-up  Area,Kalena Agrahara,ARomee ,2 BHK,1000,1000,2,2,Ready to move,33
Super built-up  Area,CV Raman Nagar,Chhamku,2 BHK,1285,1285,2,2,Ready to move,65
Super built-up  Area,Thanisandra,Pronyt ,1 BHK,662,662,1,1,Ready to move,29
Plot  Area,Whitefield,PrOakSi,5 Bedroom,2297,2297,5,2,Ready to move,269
Plot  Area,Sarjapura - Attibele Road,,5 Bedroom,3750,3750,6,3,Ready to move,295
Super built-up  Area,Kalkere,Sothin ,3 BHK,1850,1850,3,3,Ready to move,95
Super built-up  Area,Harlur,,3 BHK,1754,1754,3,2,Ready to move,132
Plot  Area,Hennur Bande,,5 Bedroom,1200,1200,4,2,Ready to move,150
Plot  Area,1st Phase JP Nagar,,5 Bedroom,2200,2200,7,2,Ready to move,350
Super built-up  Area,Anugrah Layout,Saavena,3 BHK,1567,1567,3,1,Ready to move,100
Super built-up  Area,Hoskote,Thiced ,3 BHK,1695,1695,3,3,Ready to move,50
Plot  Area,Hosahalli Extension,,2 Bedroom,360,360,2,1,Ready to move,40
Super built-up  Area,Bellandur,Srdids ,2 BHK,1150,1150,2,1,Ready to move,69.44
Super built-up  Area,Akshaya Nagar,DLhtsnd,3 BHK,1690,1690,3,2,Ready to move,85
Built-up  Area,1st Block Koramangala,,3 BHK,2350,2350,3,2,43432,210
Super built-up  Area,Karuna Nagar,AjityIn,2 BHK,1057,1057,2,1,Ready to move,65
Super built-up  Area,Hebbal,Raard B,2 BHK,1320,1320,2,1,44780,91
Super built-up  Area,Bhoganhalli,Rosha I,4 BHK,2119,2119,4,3,45225,111
Super built-up  Area,Bandepalya,Jaity H,2 BHK,1125,1125,2,1,Ready to move,48
Super built-up  Area,Kanakpura Road,,3 BHK,2254,2254,3,2,45174,170
Super built-up  Area,Balagere,Soresea,1 BHK,645,645,1,1,43542,34.18
Super built-up  Area,Rachenahalli,,2 BHK,1050,1050,2,2,Ready to move,52.08
Super built-up  Area,Panathur,Saite G,2 BHK,1040,1040,2,1,45211,41.6
Super built-up  Area,Sarjapur  Road,PualeSk,3 BHK,1700,1700,3,1,45032,194
Super built-up  Area,1st Block Jayanagar,,3 BHK,1760,1760,3,,Ready to move,115
Super built-up  Area,Bellandur,NiCodCa,3 BHK,1138,1138,3,2,44158,128
Super built-up  Area,Sarjapur  Road,AsastDe,2 BHK,984,984,2,1,44322,45.91
Built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1140,1140,2,2,Ready to move,38.65
Super built-up  Area,Whitefield,Eznuee ,3 BHK,3596,3596,3,1,44157,200
Super built-up  Area,Kalkere,,3 BHK,1365,1365,3,2,Ready to move,54
Super built-up  Area,Bethel Nagar,,1 BHK,560,560,1,0,Ready to move,19
Super built-up  Area,Vittasandra,Prlla C,2 BHK,1404,1404,2,1,Ready to move,75
Super built-up  Area,Bellandur,,4 BHK,1540,1540,4,3,Ready to move,45
Built-up  Area,Electronic City,KBityo ,3 BHK,1050,1050,2,1,Ready to move,39
Plot  Area,Lingarajapuram,,4 Bedroom,360,360,4,3,Ready to move,37
Super built-up  Area,Rachenahalli,Sovar S,3 BHK,1550,1550,3,3,Ready to move,72.5
Super built-up  Area,Yelahanka,Niareum,3 BHK,1653,1653,3,3,Ready to move,93
Super built-up  Area,Parappana Agrahara,Peide L,2 BHK,1194,1194,2,2,Ready to move,47
Super built-up  Area,Narayana Nagar 1st Block,Krite D,3 BHK,1471,1471,2,3,Ready to move,75
Super built-up  Area,Kanakpura Road,,2 BHK,700,700,2,1,45230,35
Built-up  Area,Kudlu Gate,Wharl P,2 BHK,812,812,2,1,Ready to move,38.25
Super built-up  Area,8th Phase JP Nagar,GRhtsei,3 BHK,1504,1504,2,2,Ready to move,83
Super built-up  Area,Mahadevpura,,3 BHK,1450,1450,3,2,Ready to move,75
Super built-up  Area,Kannamangala,VBownre,2 BHK,957,957,2,2,Ready to move,54.5
Carpet  Area,Attibele,Jae 1hu,1 BHK,460,460,1,1,Ready to move,13
Plot  Area,poornaprajna layout,,2 Bedroom,900,900,2,0,Ready to move,128
Super built-up  Area,7th Phase JP Nagar,Brnia G,2 BHK,1050,1050,2,1,Ready to move,75
Super built-up  Area,Budigere,PrityTr,3 BHK,1820,1820,3,2,Ready to move,85
Super built-up  Area,Varthur Road,,2 BHK,1033,1033,2,2,43753,32
Plot  Area,Kumaraswami Layout,,2 Bedroom,800,800,1,1,Ready to move,90
Plot  Area,Kadabagere,,1 Bedroom,520,520,2,0,Ready to move,29
Super built-up  Area,OMBR Layout,,2 BHK,1165,1165,2,2,Ready to move,88.5
Super built-up  Area,Gottigere,,2 BHK,1280,1280,2,1,Ready to move,61
Built-up  Area,Cambridge Layout,,3 BHK,1950,1950,3,3,Ready to move,230
Plot  Area,BTM 4th Stage,,1 Bedroom,600,600,1,0,Ready to move,58
Super built-up  Area,Kanakpura Road,JRrnauv,3 BHK,1550,1550,3,3,Ready to move,65.1
Super built-up  Area,Nagavarapalya,PuonsSe,2 BHK,1392,1392,2,1,Ready to move,130
Super built-up  Area,Jigani,DLhtsan,3 BHK,1221,1221,3,3,Ready to move,75
Super built-up  Area,AMS Layout,Choomu ,1 BHK,1000,1000,1,1,Ready to move,19
Built-up  Area,KR Garden,,2 BHK,1300,1300,2,2,Ready to move,60
Built-up  Area,Hoskote,Corus C,2 BHK,1065,1065,2,3,Ready to move,31.5
Built-up  Area,Yelahanka New Town,KHatsFl,3 BHK,1209,1209,2,3,Ready to move,65
Plot  Area,BTM 1st Stage,,1 Bedroom,375,375,1,0,Ready to move,40
Plot  Area,Dollars Colony,,3 Bedroom,7800,7800,3,2,Ready to move,2000
Super built-up  Area,Sarjapur  Road,PualeSk,3 BHK,1929,1929,4,1,44995,101
Built-up  Area,Hennur Road,Soncy R,2 BHK,1255,1255,2,1,Ready to move,84
Super built-up  Area,Jalahalli,DSata S,2 BHK,1035,1035,2,1,43562,31.05
Plot  Area,Annapurneshwari Nagar,,4 Bedroom,1200,1200,5,2,Ready to move,270
Super built-up  Area,Banashankari,Bregae ,3 BHK,1650,1650,3,2,44962,101
Built-up  Area,Whitefield,Laave E,3 BHK,1275,1275,2,3,Ready to move,65
Super built-up  Area,Electronic City,Prarkun,2 BHK,1128,1128,2,1,43776,65.58
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1140,1140,2,2,Ready to move,38.55
Plot  Area,OMBR Layout,,4 Bedroom,1200,1200,4,2,Ready to move,200
Super built-up  Area,Thanisandra,Bhe 2ko,2 BHK,1183,1183,2,2,43562,58.56
Super built-up  Area,Whitefield,Rabow R,2 BHK,1155,1155,2,1,Ready to move,39
Super built-up  Area,Kengeri,,3 BHK,1245,1245,2,2,Ready to move,43.57
Built-up  Area,Akshaya Nagar,,2 BHK,1000,1000,2,1,Ready to move,38
Super built-up  Area,7th Phase JP Nagar,Brnia G,2 BHK,1040,1040,2,1,Ready to move,75
Super built-up  Area,Ardendale,AWharde,4 BHK,2062,2062,3,,Ready to move,140
Super built-up  Area,Kundalahalli Colony,,3 BHK,1477,1477,2,2,Ready to move,75
Plot  Area,Nagadevanahalli,,4 Bedroom,1050,1050,3,3,44371,85
Super built-up  Area,Sarjapur  Road,Shthi S,3 BHK,1525,1525,2,2,Ready to move,65
Plot  Area,Carmelaram,Ocezes ,,2000,2000,,,Ready to move,120
Super built-up  Area,Kaverappa Layout,VKe 1 M,2 BHK,1220,1220,2,1,Ready to move,65
Super built-up  Area,Hebbal,Kacesh ,3 BHK,2388,2388,3,1,Ready to move,195
Super built-up  Area,Electronic City,Prarkun,2 BHK,1355,1355,2,1,44090,97.6
Built-up  Area,Whitefield,,2 BHK,1141,1141,2,1,Ready to move,62
Super built-up  Area,Vijayanagar,Saahaat,2 BHK,1046,1046,2,0,44174,49.06
Super built-up  Area,Bannerghatta Road,,1 BHK,630,630,1,2,Ready to move,35
Super built-up  Area,Pattandur Agrahara,ARvasV ,2 BHK,1247,1247,2,2,Ready to move,62.35
Built-up  Area,Marathahalli,PueraRi,4 BHK,3855,3855,4,3,Ready to move,220
Super built-up  Area,Geddalahalli,,2 BHK,850,850,2,1,Ready to move,32.5
Super built-up  Area,KR Puram,Sryam N,2 BHK,1120,1120,2,2,Ready to move,36
Plot  Area,HSR Layout,,8 Bedroom,800,800,8,,Ready to move,285
Super built-up  Area,Jakkur,Ceezey ,3 BHK,1798,1798,3,1,44572,110
Built-up  Area,Bisuvanahalli,Prityel,3 BHK,1180,1180,2,1,Ready to move,45
Super built-up  Area,Kereguddadahalli,Jaood G,2 BHK,1000,1000,2,1,Ready to move,34
Super built-up  Area,Whitefield,Prtates,2 BHK,1216,1216,2,1,43599,82
Built-up  Area,Margondanahalli,,2 Bedroom,900,900,2,0,Ready to move,65
Built-up  Area,TC Palaya,,2 Bedroom,1100,1100,2,0,Ready to move,65
Super built-up  Area,Badavala Nagar,DNncasa,3 BHK,1842,1842,3,2,43475,115
Super built-up  Area,Bisuvanahalli,Prityel,3 BHK,1075,1075,2,1,Ready to move,43
Super built-up  Area,Whitefield,UKe 2nz,2 BHK,1495,1495,3,3,Ready to move,88
Super built-up  Area,Kanakpura Road,Goelsn ,3 BHK,1700,1700,3,3,Ready to move,120
Super built-up  Area,Whitefield,Oreldhi,3 BHK,1564,1564,3,1,43520,103
Super built-up  Area,Reliaable Tranquil Layout,Sariana,2 BHK,1256,1256,2,1,43797,65
Super built-up  Area,Kundalahalli,Dieldli,2 BHK,1047,1047,2,1,43555,89
Super built-up  Area,Bhoganhalli,Rosha I,3 BHK,1458,1458,3,1,44939,78.45
Super built-up  Area,Hoodi,Caycend,2 BHK,1063,1063,2,1,44092,61.17
Super built-up  Area,Sadashiva Nagar,,4 BHK,7400,7400,5,,Ready to move,1850
Super built-up  Area,Garudachar Palya,,2 BHK,1150,1150,2,1,Ready to move,52.5
Built-up  Area,Chandapura,,1 BHK,450,450,1,1,Ready to move,9
Built-up  Area,Ramamurthy Nagar,Amazaa ,2 BHK,1360,1360,2,0,Ready to move,45
Built-up  Area,Marathahalli,,3 BHK,1605,1605,3,2,Ready to move,76
Carpet  Area,Nagarbhavi,,3 BHK,1200,1200,4,2,Ready to move,205
Super built-up  Area,Haralur Road,SNnia E,3 BHK,1810,1810,3,2,45096,100
Super built-up  Area,LB Shastri Nagar,,2 BHK,1250,1250,2,2,45096,48.5
Super built-up  Area,Poorna Pragna Layout,,3 BHK,1475,1475,2,2,Ready to move,58.99
Built-up  Area,R.T. Nagar,,2 Bedroom,1100,1100,3,0,Ready to move,125
Super built-up  Area,Dommasandra,,2 BHK,850,850,2,1,44231,25.4
Built-up  Area,Electronic City Phase II,Sryalan,2 BHK,1025,1025,2,1,44246,26.65
Built-up  Area,Uttarahalli,SivelMa,2 BHK,980,980,2,1,Ready to move,45
Super built-up  Area,Basavanagara,,3 BHK,1428,1428,2,1,Ready to move,70
Super built-up  Area,Shanti Nagar,SwionMa,2 BHK,1130,1130,2,,Ready to move,74
Super built-up  Area,Kanakpura Road,Soazak ,3 BHK,1592,1592,3,,43464,125
Super built-up  Area,JP Nagar,Arndesa,3 BHK,2050,2050,3,3,Ready to move,82
Super built-up  Area,Bagalur,Krton S,2 BHK,1407,1407,2,1,Ready to move,83.87
Super built-up  Area,Cunningham Road,Lelia M,3 BHK,4170,4170,3,2,Ready to move,800
Super built-up  Area,Whitefield,Sulesil,3 BHK,1585,1585,3,1,Ready to move,84
Built-up  Area,Jakkur,Miershi,3 BHK,1785,1785,3,2,Ready to move,130
Built-up  Area,BSM Extension,Raave E,2 BHK,900,900,2,3,Ready to move,45
Plot  Area,Somanna Garden,,4 Bedroom,1350,1350,4,2,Ready to move,160
Super built-up  Area,Kanakpura Road,PuandHi,3 BHK,1843,1843,3,2,Ready to move,96.2
Super built-up  Area,Munivenkatppa Layout,SNiew L,4 BHK,2375,2375,3,,Ready to move,260
Super built-up  Area,RPC layout,Dee 2 P,2 BHK,1200,1200,2,1,Ready to move,67
Super built-up  Area,Akshaya Nagar,,2 BHK,1113,1113,2,1,Ready to move,52
Super built-up  Area,Uttarahalli,Aklia R,2 BHK,1125,1125,2,1,Ready to move,47
Plot  Area,Whitefield,,3 Bedroom,1200,1200,3,1,44796,56
Super built-up  Area,Anekal,,3 BHK,1150,1150,3,2,Ready to move,45
Super built-up  Area,Yeshwanthpur,VSineDi,2 BHK,770,770,1,1,Ready to move,70
Super built-up  Area,Kodichikkanahalli,PentyVB,2 BHK,1181,1181,2,2,Ready to move,57
Super built-up  Area,Kanakpura Road,,3 BHK,1550,1550,3,3,Ready to move,64.7
Super built-up  Area,1st Phase JP Nagar,,2 BHK,1200,1200,2,,Ready to move,86
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1295,1295,2,2,Ready to move,55.47
Plot  Area,Kenchenahalli,,3 Bedroom,480,480,3,3,Ready to move,65
Super built-up  Area,Lingadheeranahalli,Soiewre,3 BHK,1506,1506,3,1,Ready to move,95
Built-up  Area,"HSR Layout 7th sector, ",,3 BHK,1872,1872,3,2,Ready to move,152
Super built-up  Area,Sarjapur  Road,Adeatlm,4 BHK,2900,2900,4,2,Ready to move,240
Super built-up  Area,Abbigere,DSestma,3 BHK,1326,1326,2,1,44795,35
Super built-up  Area,Talaghattapura,,2 BHK,1040,1040,2,1,Ready to move,33.28
Plot  Area,Bettadasanapura,,5 Bedroom,1200,1200,5,1,Ready to move,90
Super built-up  Area,Hennur,SLureSi,2 BHK,1020,1020,2,1,Ready to move,48
Super built-up  Area,Gokula Extension,,3 BHK,1400,1400,3,2,Ready to move,90
Super built-up  Area,Neeladri Nagar,,10 BHK,4000,4000,12,,Ready to move,160
Plot  Area,Weavers Colony,,1 Bedroom,812,812,1,1,Ready to move,26
Super built-up  Area,Vidyaranyapura,,2 BHK,1100,1100,2,1,Ready to move,54
Super built-up  Area,Kodathi,,2 BHK,829,829,2,1,43855,22.8
Plot  Area,Vijayanagar,,5 Bedroom,750,750,4,3,Ready to move,95
Plot  Area,Sanjay nagar,,4 Bedroom,2700,2700,4,2,Ready to move,350
Super built-up  Area,Kanakpura Road,GolusLi,3 BHK,1500,1500,3,1,43931,72.99
Built-up  Area,Ananth Nagar,,2 BHK,850,850,2,1,Ready to move,25.99
Built-up  Area,Kaval Byrasandra,ApallEn,2 BHK,1180,1180,2,2,Ready to move,60
Super built-up  Area,Cunningham Road,,4 BHK,5108,5108,5,2,43812,995
Super built-up  Area,Thigalarapalya,Prtanha,3 BHK,2215,2215,4,2,Ready to move,150
Super built-up  Area,Channasandra,,2 BHK,1010,1010,2,1,Ready to move,36
Built-up  Area,Marathahalli,Cores V,2 BHK,1350,1350,2,2,Ready to move,60
Built-up  Area,Talaghattapura,,2 BHK,1100,1100,2,0,Ready to move,50
Super built-up  Area,Kanakpura Road,Wiowsri,3 BHK,1450,1450,2,2,Ready to move,62.93
Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,2 BHK,1133,1133,2,2,Ready to move,40
Super built-up  Area,Thanisandra,Soitya ,3 BHK,1564,1564,3,2,Ready to move,100
Plot  Area,Doddaballapur,,2 Bedroom,640,640,1,0,Ready to move,10.5
Super built-up  Area,Thigalarapalya,Prtanha,3 BHK,2072,2072,4,2,Ready to move,157
Plot  Area,Rajaji Nagar,,2 Bedroom,432,432,2,1,Ready to move,65
Super built-up  Area,Kanakapura,SPavenc,3 BHK,1460,1460,2,3,Ready to move,51.1
Super built-up  Area,A Narayanapura,,1 BHK,600,600,2,1,Ready to move,35
Super built-up  Area,Rachenahalli,,2 BHK,1050,1050,2,2,Ready to move,52.07
Built-up  Area,"Judicial Layout, Kanakapura Road, ",,2 BHK,700,700,2,1,44055,35
Plot  Area,TC Palaya,,3 Bedroom,1200,1200,3,0,Ready to move,66
Super built-up  Area,Yelahanka,Prensya,1 BHK,654,654,1,1,Ready to move,38
Super built-up  Area,Ankappa Layout,OadraCh,2 BHK,1105,1105,2,2,Ready to move,50
Super built-up  Area,Hebbal Kempapura,Goateds,3 BHK,1800,1800,3,3,Ready to move,150
Plot  Area,Yelachenahalli,,2 Bedroom,1200,1200,2,2,Ready to move,160
Super built-up  Area,Kogilu,,1 BHK,700,700,1,1,Ready to move,30.84
Super built-up  Area,Amruthnagar,Unarlth,2 BHK,1000,1000,2,1,Ready to move,51
Built-up  Area,HSR Layout,,5 Bedroom,3500,3500,5,0,Ready to move,350
Super built-up  Area,Gattahalli,Hameson,3 BHK,1240,1240,2,1,44106,63
Super built-up  Area,Bellandur,,2 BHK,1200,1200,2,3,Ready to move,45
Super built-up  Area,Yelahanka New Town,KHatsFl,3 BHK,1400,1400,2,2,Ready to move,80
Super built-up  Area,HOSUR MAIN ROAD,,3 BHK,1393,1393,3,2,Ready to move,54
Super built-up  Area,Whitefield,,2 BHK,1140,1140,2,2,Ready to move,50
Plot  Area,Sahakara Nagar,,5 Bedroom,1000,1000,5,,Ready to move,130
Built-up  Area,Gulimangala,Daxir E,3 BHK,1640,1640,3,2,Ready to move,70
Plot  Area,Kithaganur,,2 Bedroom,1200,1200,2,0,Ready to move,62
Built-up  Area,Rajaji Nagar,,2 BHK,720,720,2,2,Ready to move,65
Super built-up  Area,Yelenahalli,,3 BHK,1650,1650,3,3,Ready to move,68
Super built-up  Area,Nagavara,K dotna,4 BHK,2496,2496,4,2,Ready to move,125
Super built-up  Area,9th Phase JP Nagar,NaensGa,2 BHK,905,905,2,1,Ready to move,32
Super built-up  Area,HAL 2nd Stage,,3 BHK,1600,1600,3,1,Ready to move,125
Super built-up  Area,Chikkalasandra,,2 BHK,1070,1070,2,1,44873,45.48
Plot  Area,Yemlur,Epllan ,4 Bedroom,8400,8400,5,2,Ready to move,1675
Built-up  Area,Koramangala,,2 BHK,1200,1200,2,2,Ready to move,100
Plot  Area,Indira Nagar,,5 Bedroom,1800,1800,5,2,Ready to move,350
Built-up  Area,8th Phase JP Nagar,,4 Bedroom,2600,2600,4,2,Ready to move,115
Super built-up  Area,Old Airport Road,,2 BHK,1145,1145,2,2,Ready to move,75
Super built-up  Area,Addischetan Layout,Malyxer,3 BHK,1495,1495,3,2,Ready to move,55
Plot  Area,Basavanagara,,3 Bedroom,1200,1200,2,1,Ready to move,300
Built-up  Area,Stage-4 Bommanahalli,Pantsce,3 BHK,1400,1400,3,2,Ready to move,53
Built-up  Area,Whitefield,,3 BHK,1558,1558,3,2,43936,90
Super built-up  Area,Balagere,Soresea,2 BHK,1007,1007,2,1,44296,53
Super built-up  Area,Ananth Nagar,,2 BHK,902,902,2,1,Ready to move,25.26
Super built-up  Area,Kallumantapa,BSarknd,2 BHK,1054,1054,2,1,Ready to move,53
Super built-up  Area,Uttarahalli,,3 BHK,1135,1135,2,3,Ready to move,39.73
Super built-up  Area,Gollarapalya Hosahalli,Mauner ,2 BHK,996,996,2,2,Ready to move,49
Super built-up  Area,Vimanapura,,2 BHK,1275,1275,2,2,43808,47
Plot  Area,NRI Layout,,2 Bedroom,1250,1250,2,0,Ready to move,75
Built-up  Area,Hennur,,4 BHK,2502,2502,4,2,Ready to move,170
Super built-up  Area,Sadaramangala,Maletr ,2 BHK,1394,1394,2,3,Ready to move,52
Super built-up  Area,Haralur Road,RInceeg,2 BHK,1243,1243,2,2,Ready to move,46
Super built-up  Area,Whitefield,Prtates,2 BHK,1216,1216,2,1,44921,75
Super built-up  Area,Konena Agrahara,EsadeNS,2 BHK,1075,1075,2,1,Ready to move,57
Plot  Area,Mysore Road,Naoden ,,1200 - 2400,1800,,,Ready to move,42.3
Built-up  Area,Indira Nagar,Monorh ,3 BHK,1500,1500,3,3,Ready to move,120
Super built-up  Area,Rayasandra,,4 BHK,1708,1708,3,1,44380,76
Plot  Area,Whitefield,Adowslm,3 Bedroom,1500,1500,3,1,Ready to move,250
Built-up  Area,Jakkur Plantation,Reicace,3 BHK,1800,1800,4,3,Ready to move,115
Super built-up  Area,Harlur,,2 BHK,1532,1532,2,1,Ready to move,65
Super built-up  Area,Hosa Road,Mahesr ,3 BHK,1726,1726,3,2,44900,81.99
Super built-up  Area,Hanumanth Nagar,Saersel,2 BHK,1220,1220,2,2,Ready to move,54.89
Super built-up  Area,Chikkalasandra,,2 BHK,1100,1100,2,2,Ready to move,50
Super built-up  Area,Electronics City Phase 1,Atntspa,3 BHK,1530,1530,3,3,Ready to move,40
Super built-up  Area,Hosa Road,SRrnauv,2 BHK,840,840,2,1,44258,28
Super built-up  Area,Bommanahalli,,3 BHK,1250,1250,4,3,44076,39
Super built-up  Area,CV Raman Nagar,,2 BHK,1030,1030,2,,Ready to move,35
Super built-up  Area,Raghavendra Layout,Muiseek,3 BHK,1499,1499,3,2,Ready to move,89
Super built-up  Area,Varsova Layout,MoaveEn,3 BHK,1280,1280,2,3,Ready to move,55
Built-up  Area,Munnekollal,,2 BHK,1170,1170,2,2,Ready to move,59
Plot  Area,Chikka Tirupathi,,3 Bedroom,2646,2646,3,,Ready to move,99
Super built-up  Area,Thirumenahalli,MNtha A,2 BHK,1161,1161,2,3,44173,36.69
Plot  Area,Yelahanka,,2 Bedroom,1633,1633,2,1,Ready to move,72
Built-up  Area,Richards Town,MaionMa,2 BHK,1050,1050,2,2,Ready to move,65
Plot  Area,Hennur Road,Saandtt,4 Bedroom,1650,1650,5,3,44495,309
Super built-up  Area,Varthur Road,Aseenh ,1 BHK,540 - 565,552,1,0,44183,13.26
Super built-up  Area,Attibele,Jae 1hu,1 BHK,418,418,2,1,Ready to move,11.5
Super built-up  Area,Bhattarahalli,,2 BHK,905,905,2,2,Ready to move,50
Super built-up  Area,Raja Rajeshwari Nagar,DwntsAp,3 BHK,1510,1510,2,2,Ready to move,55
Super built-up  Area,Chikkalasandra,,3 BHK,1390,1390,2,3,Ready to move,60.47
Super built-up  Area,Kasturi Nagar,,2 BHK,1101,1101,2,2,Ready to move,66
Super built-up  Area,Srirampura,MVmesle,4 BHK,2736,2736,4,,Ready to move,130
Super built-up  Area,EPIP Zone,BrontLa,3 BHK,2350,2350,4,2,44170,163
Super built-up  Area,Raja Rajeshwari Nagar 5th Stage,Pridel ,2 BHK,1056,1056,2,2,Ready to move,55
Super built-up  Area,Kanakpura Road,,3 BHK,1425,1425,2,2,Ready to move,49.88
Super built-up  Area,Electronics City Phase 1,Shitt S,3 BHK,1450,1450,3,1,44170,70
Built-up  Area,Pai Layout,Saage V,2 BHK,1000,1000,2,2,Ready to move,34
Super built-up  Area,Haralur Road,SNnia E,1 BHK,575,575,1,1,43545,38
Super built-up  Area,Uttarahalli,,3 BHK,1350,1350,2,2,Ready to move,47.24
Plot  Area,Kanakpura Road,,3 Bedroom,2000,2000,2,0,Ready to move,180
Built-up  Area,Raghavendra Layout,Gomeseg,3 BHK,1770,1770,3,2,Ready to move,90
Super built-up  Area,Byadarahalli,Prurten,3 BHK,3155,3155,3,2,Ready to move,315
Plot  Area,Anandapura,,2 Bedroom,616,616,3,1,Ready to move,45
Super built-up  Area,JP Nagar,Shika A,1 BHK,745,745,1,0,Ready to move,34.27
Built-up  Area,Nayandanahalli,,7 Bedroom,6500,6500,7,1,Ready to move,104
Plot  Area,HAL 2nd Stage,,4 Bedroom,2400,2400,4,1,Ready to move,650
Super built-up  Area,Kudlu Gate,Sanzaat,2 BHK,1547,1547,2,2,43814,103
Super built-up  Area,Panathur,Prcesvy,3 BHK,1713,1713,3,1,Ready to move,120
Plot  Area,Sarjapur,Prldsum,4 Bedroom,3300,3300,4,2,Ready to move,430
Plot  Area,Mahalakshmi Layout,,8 Bedroom,1135,1135,4,1,Ready to move,190
Super built-up  Area,Yeshwanthpur,RNvasth,3 BHK,1856,1856,4,2,Ready to move,180
Super built-up  Area,RMV Extension,DSureSi,2 BHK,1152,1152,2,1,Ready to move,57
Super built-up  Area,Dodda Nekkundi,,2 BHK,1100,1100,2,1,Ready to move,46.75
Super built-up  Area,Narayanapura,AriosHe,3 BHK,2357,2357,3,2,Ready to move,135
Super built-up  Area,Akshaya Nagar,,3 BHK,1820,1820,4,2,Ready to move,95
Super built-up  Area,Kannamangala,Sonue A,3 BHK,1865,1865,3,1,44869,139
Built-up  Area,Kanakpura Road,Prdhue ,2 BHK,1240,1240,2,2,Ready to move,65
Super built-up  Area,Padmanabhanagar,Naasyak,3 BHK,1360,1360,3,1,Ready to move,75
Built-up  Area,ISRO Layout,,4 Bedroom,4200,4200,4,2,Ready to move,255
Super built-up  Area,Electronics City Phase 1,Shitt S,3 BHK,1450,1450,2,2,Ready to move,63.51
Super built-up  Area,Budigere,PrityTr,2 BHK,1139,1139,2,2,Ready to move,72
Super built-up  Area,Begur Road,,3 BHK,1565,1565,2,2,Ready to move,56
